colsample_bytree,eta,max_depth,min_child_weight,n_estimators,subsample,alpha
0.4,0.01,4,7,962,1.0000000000000002,5.0
1.0000000000000002,0.01,5,4,962,1.0000000000000002,75.0
0.8000000000000002,0.01,3,1,962,0.8000000000000002,25.0
1.0000000000000002,0.01,4,3,962,1.0000000000000002,10.0
1.0000000000000002,0.01,7,1,962,1.0000000000000002,25.0
1.0000000000000002,0.01,5,4,962,1.0000000000000002,75.0
1.0000000000000002,0.01,3,4,962,1.0000000000000002,25.0
0.4,0.01,4,1,962,1.0000000000000002,10.0
1.0000000000000002,0.01,7,1,962,1.0000000000000002,5.0
0.4,0.01,3,1,962,0.4,5.0
0.8000000000000002,0.01,6,1,962,1.0000000000000002,0.0
0.4,0.01,5,3,962,1.0000000000000002,0.01
0.4,0.01,7,1,962,1.0000000000000002,100.0
0.4,0.01,3,3,962,1.0000000000000002,25.0
1.0000000000000002,0.01,7,5,962,1.0000000000000002,50.0
1.0000000000000002,0.01,7,2,962,1.0000000000000002,75.0
